base_id,ep_idx,g,qpos_or_qi,answer,pred,correct,category
7,47,210,1,Zum,Zum,1,correct
8,48,012,2,Zam,Zam,1,correct
8,49,021,2,Vij,Vij,1,correct
8,50,102,2,Zam,Zam,1,correct
8,51,120,2,Jal,Jal,1,correct
8,52,201,2,Vij,Vij,1,correct
8,53,210,2,Jal,Jal,1,correct
9,54,012,2,Bik,Bik,1,correct
9,55,021,2,Bij,Bij,1,correct
9,56,102,2,Bik,Bik,1,correct
9,57,120,2,Vij,Vij,1,correct
9,58,201,2,Bij,Bij,1,correct
9,59,210,2,Vij,Vij,1,correct
10,60,012,2,Jad,Jad,1,correct
10,61,021,2,Vij,Vij,1,correct
10,62,102,2,Zum,Zum,1,correct
10,63,120,2,Vij,Vij,1,correct
10,64,201,2,Zum,Zum,1,correct
10,65,210,2,Jad,Jad,1,correct
11,66,012,2,Zam,Zam,1,correct
11,67,021,2,Fon,Fon,1,correct
11,68,102,2,Zam,Zam,1,correct
11,69,120,2,Bij,Bij,1,correct
11,70,201,2,Fon,Fon,1,correct
11,71,210,2,Bij,Bij,1,correct
12,72,012,2,Jad,Jad,1,correct
12,73,021,2,Bij,Bij,1,correct
12,74,102,2,Jad,Jad,1,correct
12,75,120,2,Poz,Poz,1,correct
12,76,201,2,Bij,Bij,1,correct
12,77,210,2,Poz,Poz,1,correct
13,78,012,1,Zum,Zum,1,correct
13,79,021,1,Bik,Bik,1,correct
13,80,102,1,Zum,Zum,1,correct
13,81,120,1,Fon,Fon,1,correct
13,82,201,1,Bik,Bik,1,correct
13,83,210,1,Fon,Fon,1,correct
14,84,012,2,Sik,Sik,1,correct
14,85,021,2,Bik,Bik,1,correct
14,86,102,2,Poz,Poz,1,correct
14,87,120,2,Bik,Bik,1,correct
14,88,201,2,Poz,Poz,1,correct
14,89,210,2,Sik,Sik,1,correct
15,90,012,2,Vij,Vij,1,correct
15,91,021,2,Fon,Fon,1,correct
15,92,102,2,Vij,Vij,1,correct
15,93,120,2,Jal,Jal,1,correct
15,94,201,2,Fon,Fon,1,correct
15,95,210,2,Jal,Jal,1,correct
16,96,012,2,Raz,Raz,1,correct
16,97,021,2,Raz,Raz,1,correct
16,98,102,2,Fon,Fon,1,correct
16,99,120,2,Fon,Fon,1,correct
16,100,201,2,Zum,Zum,1,correct
16,101,210,2,Zum,Zum,1,correct
17,102,012,2,Sik,Sik,1,correct
17,103,021,2,Sik,Sik,1,correct
17,104,102,2,Bij,Bij,1,correct
17,105,120,2,Bij,Bij,1,correct
17,106,201,2,Bik,Bik,1,correct
17,107,210,2,Bik,Bik,1,correct
18,108,012,1,Sik,Sik,1,correct
18,109,021,1,Bij,Bij,1,correct
18,110,102,1,Sik,Sik,1,correct
18,111,120,1,Jal,Jal,1,correct
18,112,201,1,Bij,Bij,1,correct
18,113,210,1,Jal,Jal,1,correct
19,114,012,1,Jad,Jad,1,correct
19,115,021,1,Bik,Bik,1,correct
19,116,102,1,Raz,Raz,1,correct
19,117,120,1,Bik,Bik,1,correct
19,118,201,1,Raz,Raz,1,correct
19,119,210,1,Jad,Jad,1,correct
20,120,012,1,Bik,Bik,1,correct
20,121,021,1,Zum,Zum,1,correct
20,122,102,1,Sik,Sik,1,correct
20,123,120,1,Zum,Zum,1,correct
20,124,201,1,Sik,Sik,1,correct
20,125,210,1,Bik,Bik,1,correct
21,126,012,2,Zam,Zam,1,correct
21,127,021,2,Vij,Vij,1,correct
21,128,102,2,Poz,Poz,1,correct
21,129,120,2,Vij,Vij,1,correct
21,130,201,2,Poz,Poz,1,correct
21,131,210,2,Zam,Zam,1,correct
22,132,012,2,Sik,Sik,1,correct
22,133,021,2,Sik,Sik,1,correct
22,134,102,2,Poz,Poz,1,correct
22,135,120,2,Poz,Poz,1,correct
22,136,201,2,Zum,Zum,1,correct
22,137,210,2,Zum,Zum,1,correct
23,138,012,1,Vij,Vij,1,correct
23,139,021,1,Kad,Kad,1,correct
23,140,102,1,Vij,Vij,1,correct
23,141,120,1,Zam,Zam,1,correct
23,142,201,1,Kad,Kad,1,correct
23,143,210,1,Zam,Zam,1,correct
24,144,012,1,Bij,Bij,1,correct
24,145,021,1,Zam,Zam,1,correct
24,146,102,1,Bij,Bij,1,correct
24,147,120,1,Raz,Raz,1,correct
24,148,201,1,Zam,Zam,1,correct
24,149,210,1,Raz,Raz,1,correct
25,150,012,2,Jal,Jal,1,correct
25,151,021,2,Bij,Bij,1,correct
25,152,102,2,Kad,Kad,1,correct
25,153,120,2,Bij,Bij,1,correct
25,154,201,2,Kad,Kad,1,correct
25,155,210,2,Jal,Jal,1,correct
26,156,012,2,Jad,Jad,1,correct
26,157,021,2,Bij,Bij,1,correct
26,158,102,2,Jad,Jad,1,correct
26,159,120,2,Zam,Zam,1,correct
26,160,201,2,Bij,Bij,1,correct
26,161,210,2,Zam,Zam,1,correct
27,162,012,2,Sik,Sik,1,correct
27,163,021,2,Vij,Vij,1,correct
27,164,102,2,Bij,Bij,1,correct
27,165,120,2,Vij,Vij,1,correct
27,166,201,2,Bij,Bij,1,correct
27,167,210,2,Sik,Sik,1,correct
28,168,012,1,Jad,Jad,1,correct
28,169,021,1,Bij,Bij,1,correct
28,170,102,1,Kad,Kad,1,correct
28,171,120,1,Bij,Bij,1,correct
28,172,201,1,Kad,Kad,1,correct
28,173,210,1,Jad,Jad,1,correct
29,174,012,2,Poz,Poz,1,correct
29,175,021,2,Fon,Fon,1,correct
29,176,102,2,Vij,Vij,1,correct
29,177,120,2,Fon,Fon,1,correct
29,178,201,2,Vij,Vij,1,correct
29,179,210,2,Poz,Poz,1,correct
30,180,012,2,Zum,Zum,1,correct
30,181,021,2,Vij,Vij,1,correct
30,182,102,2,Kad,Kad,1,correct
30,183,120,2,Vij,Vij,1,correct
30,184,201,2,Kad,Kad,1,correct
30,185,210,2,Zum,Zum,1,correct
31,186,012,2,Zam,Zam,1,correct
31,187,021,2,Jal,Jal,1,correct
31,188,102,2,Zam,Zam,1,correct
31,189,120,2,Bik,Bik,1,correct
31,190,201,2,Jal,Jal,1,correct
31,191,210,2,Bik,Bik,1,correct
32,192,012,2,Fon,Fon,1,correct
32,193,021,2,Bij,Bij,1,correct
32,194,102,2,Zum,Zum,1,correct
32,195,120,2,Bij,Bij,1,correct
32,196,201,2,Zum,Zum,1,correct
32,197,210,2,Fon,Fon,1,correct
33,198,012,1,Poz,Poz,1,correct
33,199,021,1,Raz,Raz,1,correct
33,200,102,1,Poz,Poz,1,correct
33,201,120,1,Kad,Kad,1,correct
33,202,201,1,Raz,Raz,1,correct
33,203,210,1,Kad,Kad,1,correct
34,204,012,2,Fon,Fon,1,correct
34,205,021,2,Zum,Zum,1,correct
34,206,102,2,Fon,Fon,1,correct
34,207,120,2,Jad,Jad,1,correct
34,208,201,2,Zum,Zum,1,correct
34,209,210,2,Jad,Jad,1,correct
35,210,012,1,Fon,Fon,1,correct
35,211,021,1,Zum,Zum,1,correct
35,212,102,1,Bij,Bij,1,correct
35,213,120,1,Zum,Zum,1,correct
35,214,201,1,Bij,Bij,1,correct
35,215,210,1,Fon,Fon,1,correct
36,216,012,2,Vij,Vij,1,correct
36,217,021,2,Vij,Vij,1,correct
36,218,102,2,Zum,Zum,1,correct
36,219,120,2,Zum,Zum,1,correct
36,220,201,2,Fon,Fon,1,correct
36,221,210,2,Fon,Fon,1,correct
37,222,012,1,Fon,Fon,1,correct
37,223,021,1,Poz,Poz,1,correct
37,224,102,1,Raz,Raz,1,correct
37,225,120,1,Poz,Poz,1,correct
37,226,201,1,Raz,Raz,1,correct
37,227,210,1,Fon,Fon,1,correct
38,228,012,2,Zum,Zum,1,correct
38,229,021,2,Jad,Jad,1,correct
38,230,102,2,Zum,Zum,1,correct
38,231,120,2,Fon,Fon,1,correct
38,232,201,2,Jad,Jad,1,correct
38,233,210,2,Fon,Fon,1,correct
39,234,012,2,Jad,Jad,1,correct
39,235,021,2,Kad,Kad,1,correct
39,236,102,2,Jad,Jad,1,correct
39,237,120,2,Sik,Sik,1,correct
39,238,201,2,Kad,Kad,1,correct
39,239,210,2,Sik,Sik,1,correct
40,240,012,2,Poz,Poz,1,correct
40,241,021,2,Sik,Sik,1,correct
40,242,102,2,Kad,Kad,1,correct
40,243,120,2,Sik,Sik,1,correct
40,244,201,2,Kad,Kad,1,correct
40,245,210,2,Poz,Poz,1,correct
41,246,012,1,Kad,Kad,1,correct
41,247,021,1,Jad,Jad,1,correct
41,248,102,1,Bik,Bik,1,correct
41,249,120,1,Jad,Jad,1,correct
41,250,201,1,Bik,Bik,1,correct
41,251,210,1,Kad,Kad,1,correct
42,252,012,2,Jad,Jad,1,correct
42,253,021,2,Jad,Jad,1,correct
42,254,102,2,Kad,Kad,1,correct
42,255,120,2,Kad,Kad,1,correct
42,256,201,2,Bij,Bij,1,correct
42,257,210,2,Bij,Bij,1,correct
43,258,012,1,Kad,Kad,1,correct
43,259,021,1,Bij,Bij,1,correct
43,260,102,1,Kad,Kad,1,correct
43,261,120,1,Sik,Sik,1,correct
43,262,201,1,Bij,Bij,1,correct
43,263,210,1,Sik,Sik,1,correct
44,264,012,1,Jal,Jal,1,correct
44,265,021,1,Kad,Kad,1,correct
44,266,102,1,Jal,Jal,1,correct
44,267,120,1,Bik,Bik,1,correct
44,268,201,1,Kad,Kad,1,correct
44,269,210,1,Bik,Bik,1,correct
45,270,012,1,Bij,Bij,1,correct
45,271,021,1,Sik,Sik,1,correct
45,272,102,1,Bij,Bij,1,correct
45,273,120,1,Vij,Vij,1,correct
45,274,201,1,Sik,Sik,1,correct
45,275,210,1,Vij,Vij,1,correct
46,276,012,1,Sik,Sik,1,correct
46,277,021,1,Vij,Vij,1,correct
46,278,102,1,Fon,Fon,1,correct
46,279,120,1,Vij,Vij,1,correct
46,280,201,1,Fon,Fon,1,correct
46,281,210,1,Sik,Sik,1,correct
47,282,012,2,Fon,Fon,1,correct
47,283,021,2,Zam,Zam,1,correct
47,284,102,2,Fon,Fon,1,correct
47,285,120,2,Zum,Zum,1,correct
47,286,201,2,Zam,Zam,1,correct
47,287,210,2,Zum,Zum,1,correct
48,288,012,2,Poz,Poz,1,correct
48,289,021,2,Poz,Poz,1,correct
48,290,102,2,Jad,Jad,1,correct
48,291,120,2,Jad,Jad,1,correct
48,292,201,2,Bik,Bik,1,correct
48,293,210,2,Bik,Bik,1,correct
49,294,012,2,Fon,Fon,1,correct
49,295,021,2,Poz,Poz,1,correct
49,296,102,2,Fon,Fon,1,correct
49,297,120,2,Sik,Sik,1,correct
49,298,201,2,Poz,Poz,1,correct
49,299,210,2,Sik,Sik,1,correct
50,300,012,1,Jal,Jal,1,correct
50,301,021,1,Zum,Zum,1,correct
50,302,102,1,Jal,Jal,1,correct
50,303,120,1,Jad,Jad,1,correct
50,304,201,1,Zum,Zum,1,correct
50,305,210,1,Jad,Jad,1,correct
51,306,012,1,Fon,Fon,1,correct
51,307,021,1,Vij,Vij,1,correct
51,308,102,1,Fon,Fon,1,correct
51,309,120,1,Zum,Zum,1,correct
51,310,201,1,Vij,Vij,1,correct
51,311,210,1,Zum,Zum,1,correct
52,312,012,1,Poz,Poz,1,correct
52,313,021,1,Raz,Raz,1,correct
52,314,102,1,Bik,Bik,1,correct
52,315,120,1,Raz,Raz,1,correct
52,316,201,1,Bik,Bik,1,correct
52,317,210,1,Poz,Poz,1,correct
53,318,012,2,Jad,Jad,1,correct
53,319,021,2,Vij,Vij,1,correct
53,320,102,2,Jad,Jad,1,correct
53,321,120,2,Poz,Poz,1,correct
53,322,201,2,Vij,Vij,1,correct
53,323,210,2,Poz,Poz,1,correct
54,324,012,1,Poz,Poz,1,correct
54,325,021,1,Poz,Poz,1,correct
54,326,102,1,Raz,Raz,1,correct
54,327,120,1,Raz,Raz,1,correct
54,328,201,1,Bij,Bij,1,correct
54,329,210,1,Bij,Bij,1,correct
55,330,012,2,Vij,Vij,1,correct
55,331,021,2,Poz,Poz,1,correct
55,332,102,2,Fon,Fon,1,correct
55,333,120,2,Poz,Poz,1,correct
55,334,201,2,Fon,Fon,1,correct
55,335,210,2,Vij,Vij,1,correct
56,336,012,2,Zam,Zam,1,correct
56,337,021,2,Zam,Zam,1,correct
56,338,102,2,Zum,Zum,1,correct
56,339,120,2,Zum,Zum,1,correct
56,340,201,2,Vij,Vij,1,correct
56,341,210,2,Vij,Vij,1,correct
57,342,012,2,Vij,Vij,1,correct
57,343,021,2,Jad,Jad,1,correct
57,344,102,2,Vij,Vij,1,correct
57,345,120,2,Bij,Bij,1,correct
57,346,201,2,Jad,Jad,1,correct
57,347,210,2,Bij,Bij,1,correct
58,348,012,1,Kad,Kad,1,correct
58,349,021,1,Zam,Zam,1,correct
58,350,102,1,Kad,Kad,1,correct
58,351,120,1,Zum,Zum,1,correct
58,352,201,1,Zam,Zam,1,correct
58,353,210,1,Zum,Zum,1,correct
59,354,012,1,Poz,Poz,1,correct
59,355,021,1,Poz,Poz,1,correct
59,356,102,1,Vij,Vij,1,correct
59,357,120,1,Vij,Vij,1,correct
59,358,201,1,Zum,Zum,1,correct
59,359,210,1,Zum,Zum,1,correct
60,360,012,2,Raz,Raz,1,correct
60,361,021,2,Sik,Sik,1,correct
60,362,102,2,Raz,Raz,1,correct
60,363,120,2,Fon,Fon,1,correct
60,364,201,2,Sik,Sik,1,correct
60,365,210,2,Fon,Fon,1,correct
61,366,012,2,Jal,Jal,1,correct
61,367,021,2,Jal,Jal,1,correct
61,368,102,2,Kad,Kad,1,correct
61,369,120,2,Kad,Kad,1,correct
61,370,201,2,Bij,Bij,1,correct
61,371,210,2,Bij,Bij,1,correct
62,372,012,2,Fon,Sik,0,opposite_endpoint
62,373,021,2,Fon,Zam,0,opposite_endpoint
62,374,102,2,Zam,Sik,0,opposite_endpoint
62,375,120,2,Zam,Fon,0,opposite_endpoint
62,376,201,2,Sik,Sik,1,correct
62,377,210,2,Sik,Sik,1,correct
63,378,012,1,Kad,Kad,1,correct
63,379,021,1,Kad,Kad,1,correct
63,380,102,1,Vij,Vij,1,correct
63,381,120,1,Vij,Vij,1,correct
63,382,201,1,Fon,Fon,1,correct
63,383,210,1,Fon,Fon,1,correct
64,384,012,2,Zam,Zam,1,correct
64,385,021,2,Bij,Bij,1,correct
64,386,102,2,Zam,Zam,1,correct
64,387,120,2,Kad,Kad,1,correct
64,388,201,2,Bij,Bij,1,correct
64,389,210,2,Kad,Kad,1,correct
65,390,012,1,Jal,Jal,1,correct
65,391,021,1,Sik,Sik,1,correct
65,392,102,1,Jal,Jal,1,correct
65,393,120,1,Vij,Vij,1,correct
65,394,201,1,Sik,Sik,1,correct
65,395,210,1,Vij,Vij,1,correct
66,396,012,2,Fon,Fon,1,correct
66,397,021,2,Vij,Vij,1,correct
66,398,102,2,Fon,Fon,1,correct
66,399,120,2,Kad,Kad,1,correct
66,400,201,2,Vij,Vij,1,correct
66,401,210,2,Kad,Kad,1,correct
67,402,012,2,Raz,Raz,1,correct
67,403,021,2,Raz,Raz,1,correct
67,404,102,2,Bik,Bik,1,correct
67,405,120,2,Bik,Bik,1,correct
67,406,201,2,Fon,Fon,1,correct
67,407,210,2,Fon,Fon,1,correct
68,408,012,1,Jal,Jal,1,correct
68,409,021,1,Zum,Zum,1,correct
68,410,102,1,Vij,Vij,1,correct
68,411,120,1,Zum,Zum,1,correct
68,412,201,1,Vij,Vij,1,correct
68,413,210,1,Jal,Jal,1,correct
69,414,012,2,Zam,Zam,1,correct
69,415,021,2,Jad,Jad,1,correct
69,416,102,2,Zam,Zam,1,correct
69,417,120,2,Bik,Bik,1,correct
69,418,201,2,Jad,Jad,1,correct
69,419,210,2,Bik,Bik,1,correct
70,420,012,1,Kad,Kad,1,correct
70,421,021,1,Kad,Kad,1,correct
70,422,102,1,Zam,Zam,1,correct
70,423,120,1,Zam,Zam,1,correct
70,424,201,1,Poz,Poz,1,correct
70,425,210,1,Poz,Poz,1,correct
71,426,012,1,Sik,Sik,1,correct
71,427,021,1,Vij,Vij,1,correct
71,428,102,1,Sik,Sik,1,correct
71,429,120,1,Zam,Zam,1,correct
71,430,201,1,Vij,Vij,1,correct
71,431,210,1,Zam,Zam,1,correct
72,432,012,1,Vij,Vij,1,correct
72,433,021,1,Sik,Sik,1,correct
72,434,102,1,Vij,Vij,1,correct
72,435,120,1,Fon,Fon,1,correct
72,436,201,1,Sik,Sik,1,correct
72,437,210,1,Fon,Fon,1,correct
73,438,012,1,Sik,Sik,1,correct
73,439,021,1,Sik,Sik,1,correct
73,440,102,1,Kad,Kad,1,correct
73,441,120,1,Kad,Kad,1,correct
73,442,201,1,Jad,Jad,1,correct
73,443,210,1,Jad,Jad,1,correct
74,444,012,2,Jal,Jal,1,correct
74,445,021,2,Jal,Bij,0,opposite_endpoint
74,446,102,2,Kad,Kad,1,correct
74,447,120,2,Kad,Bij,0,opposite_endpoint
74,448,201,2,Bij,Bij,1,correct
74,449,210,2,Bij,Bij,1,correct
75,450,012,2,Bik,Bik,1,correct
75,451,021,2,Bij,Bij,1,correct
75,452,102,2,Jad,Jad,1,correct
75,453,120,2,Bij,Bij,1,correct
75,454,201,2,Jad,Jad,1,correct
75,455,210,2,Bik,Bik,1,correct
76,456,012,1,Vij,Vij,1,correct
76,457,021,1,Vij,Vij,1,correct
76,458,102,1,Bik,Bik,1,correct
76,459,120,1,Bik,Bik,1,correct
76,460,201,1,Zum,Zum,1,correct
76,461,210,1,Zum,Zum,1,correct
77,462,012,2,Raz,Raz,1,correct
77,463,021,2,Bik,Bik,1,correct
77,464,102,2,Raz,Raz,1,correct
77,465,120,2,Kad,Kad,1,correct
77,466,201,2,Bik,Bik,1,correct
77,467,210,2,Kad,Kad,1,correct
78,468,012,2,Raz,Raz,1,correct
78,469,021,2,Jad,Jad,1,correct
78,470,102,2,Raz,Raz,1,correct
78,471,120,2,Poz,Poz,1,correct
78,472,201,2,Jad,Jad,1,correct
78,473,210,2,Poz,Poz,1,correct
79,474,012,2,Jad,Jad,1,correct
79,475,021,2,Bik,Bik,1,correct
79,476,102,2,Jad,Jad,1,correct
79,477,120,2,Fon,Fon,1,correct
79,478,201,2,Bik,Bik,1,correct
79,479,210,2,Fon,Fon,1,correct
80,480,012,1,Bik,Bik,1,correct
80,481,021,1,Zam,Zam,1,correct
80,482,102,1,Vij,Vij,1,correct
80,483,120,1,Zam,Zam,1,correct
80,484,201,1,Vij,Vij,1,correct
80,485,210,1,Bik,Bik,1,correct
81,486,012,2,Zam,Zam,1,correct
81,487,021,2,Zam,Zam,1,correct
81,488,102,2,Jad,Jad,1,correct
81,489,120,2,Jad,Jad,1,correct
81,490,201,2,Bik,Bik,1,correct
81,491,210,2,Bik,Bik,1,correct
82,492,012,1,Zam,Zam,1,correct
82,493,021,1,Bij,Bij,1,correct
82,494,102,1,Zam,Zam,1,correct
82,495,120,1,Kad,Kad,1,correct
82,496,201,1,Bij,Bij,1,correct
82,497,210,1,Kad,Kad,1,correct
83,498,012,1,Bik,Bik,1,correct
83,499,021,1,Bik,Bik,1,correct
83,500,102,1,Vij,Vij,1,correct
83,501,120,1,Vij,Vij,1,correct
83,502,201,1,Poz,Poz,1,correct
83,503,210,1,Poz,Poz,1,correct
84,504,012,2,Sik,Sik,1,correct
84,505,021,2,Zum,Zum,1,correct
84,506,102,2,Poz,Poz,1,correct
84,507,120,2,Zum,Zum,1,correct
84,508,201,2,Poz,Poz,1,correct
84,509,210,2,Sik,Sik,1,correct
85,510,012,2,Jad,Jad,1,correct
85,511,021,2,Jal,Jal,1,correct
85,512,102,2,Zam,Zam,1,correct
85,513,120,2,Jal,Jal,1,correct
85,514,201,2,Zam,Zam,1,correct
85,515,210,2,Jad,Jad,1,correct
86,516,012,1,Fon,Fon,1,correct
86,517,021,1,Fon,Fon,1,correct
86,518,102,1,Jad,Jad,1,correct
86,519,120,1,Jad,Jad,1,correct
86,520,201,1,Bij,Bij,1,correct
86,521,210,1,Bij,Bij,1,correct
87,522,012,1,Fon,Fon,1,correct
87,523,021,1,Fon,Fon,1,correct
87,524,102,1,Kad,Kad,1,correct
87,525,120,1,Kad,Kad,1,correct
87,526,201,1,Raz,Raz,1,correct
87,527,210,1,Raz,Raz,1,correct
88,528,012,2,Sik,Sik,1,correct
88,529,021,2,Vij,Vij,1,correct
88,530,102,2,Jal,Jal,1,correct
88,531,120,2,Vij,Vij,1,correct
88,532,201,2,Jal,Jal,1,correct
88,533,210,2,Sik,Sik,1,correct
89,534,012,1,Vij,Vij,1,correct
89,535,021,1,Poz,Poz,1,correct
89,536,102,1,Vij,Vij,1,correct
89,537,120,1,Jad,Jad,1,correct
89,538,201,1,Poz,Poz,1,correct
89,539,210,1,Jad,Jad,1,correct
90,540,012,2,Fon,Fon,1,correct
90,541,021,2,Zam,Zam,1,correct
90,542,102,2,Fon,Fon,1,correct
90,543,120,2,Bij,Bij,1,correct
90,544,201,2,Zam,Zam,1,correct
90,545,210,2,Bij,Bij,1,correct
91,546,012,1,Kad,Kad,1,correct
91,547,021,1,Jal,Jal,1,correct
91,548,102,1,Bik,Bik,1,correct
91,549,120,1,Jal,Jal,1,correct
91,550,201,1,Bik,Bik,1,correct
91,551,210,1,Kad,Kad,1,correct
92,552,012,1,Zam,Zam,1,correct
92,553,021,1,Fon,Fon,1,correct
92,554,102,1,Zam,Zam,1,correct
92,555,120,1,Poz,Poz,1,correct
92,556,201,1,Fon,Fon,1,correct
92,557,210,1,Poz,Poz,1,correct
93,558,012,1,Bik,Bik,1,correct
93,559,021,1,Bik,Bik,1,correct
93,560,102,1,Vij,Vij,1,correct
93,561,120,1,Vij,Vij,1,correct
93,562,201,1,Zam,Zam,1,correct
93,563,210,1,Zam,Zam,1,correct
94,564,012,1,Bij,Bij,1,correct
94,565,021,1,Bij,Bij,1,correct
94,566,102,1,Vij,Vij,1,correct
94,567,120,1,Vij,Vij,1,correct
94,568,201,1,Fon,Fon,1,correct
94,569,210,1,Fon,Fon,1,correct
95,570,012,2,Raz,Raz,1,correct
95,571,021,2,Zam,Zam,1,correct
95,572,102,2,Raz,Raz,1,correct
95,573,120,2,Poz,Poz,1,correct
95,574,201,2,Zam,Zam,1,correct
95,575,210,2,Poz,Poz,1,correct
96,576,012,1,Zam,Zam,1,correct
96,577,021,1,Jad,Jad,1,correct
96,578,102,1,Kad,Kad,1,correct
96,579,120,1,Jad,Jad,1,correct
96,580,201,1,Kad,Kad,1,correct
96,581,210,1,Zam,Zam,1,correct
97,582,012,2,Jad,Jad,1,correct
97,583,021,2,Zam,Zam,1,correct
97,584,102,2,Jad,Jad,1,correct
97,585,120,2,Bik,Bik,1,correct
97,586,201,2,Zam,Zam,1,correct
97,587,210,2,Bik,Bik,1,correct
98,588,012,2,Bij,Bij,1,correct
98,589,021,2,Jad,Jad,1,correct
98,590,102,2,Bij,Bij,1,correct
98,591,120,2,Zam,Zam,1,correct
98,592,201,2,Jad,Jad,1,correct
98,593,210,2,Zam,Zam,1,correct
99,594,012,2,Zam,Zam,1,correct
99,595,021,2,Zam,Bij,0,opposite_endpoint
99,596,102,2,Bij,Bij,1,correct
99,597,120,2,Bij,Zam,0,opposite_endpoint
99,598,201,2,Raz,Bij,0,opposite_endpoint
99,599,210,2,Raz,Zam,0,opposite_endpoint
